be ; 27239
up ; 7138
 ; 202318
upon ; 4160
we ; 13668
our ; 4088
of ; 119701
his ; 34380
out ; 7891
with ; 34665
from ; 9433
has ; 5077
its ; 4523
not ; 32386
said ; 5039
have ; 23991
my ; 22712
them ; 5581
will ; 11037
but ; 30329
on ; 12904
then ; 6525
thy ; 4028
all ; 11971
could ; 6614
or ; 8610
what ; 5911
and ; 167100
for ; 36130
if ; 7613
to ; 114272
about ; 6121
by ; 15659
do ; 5427
like ; 4217
was ; 49624
one ; 9926
they ; 14089
in ; 69179
other ; 4002
a ; 99209
an ; 8104
thou ; 5138
her ; 21272
you ; 35121
got ; 4047
is ; 37433
she ; 19935
their ; 6428
it ; 50587
no ; 7952
as ; 29531
at ; 18706
when ; 8507
who ; 4428
he ; 44747
i ; 72836
would ; 9567
so ; 13588
some ; 4462
it. ; 4557
see ; 4020
any ; 5067
been ; 6037
down ; 4100
me ; 11514
this ; 18019
had ; 24180
the ; 208421
which ; 7409
are ; 7566
into ; 4263
that ; 54938
your ; 11160
were ; 9682
there ; 8909
him ; 8425
